"Faguó / Faguó rén";"France / French";"chinese vocabulary countries"
"Nǐ hǎo mā?";"How are you?";"chinese phrases"
"Wǒ hěn hǎo.";"I'm fine.";"chinese phrases"
"Nǐ jiào ming zi?";"What is your name?";"chinese phrases"
"Wǒ jiào X.";"My name is X.";"chinese phrases"
"(Wǒ) hěn hǎo xìng rèn shi nǐ.";"Nice to meet you.";"chinese phrases"
"Nǐ shì něi guó rén?";"Where are you from?";"chinese phrases"
"Wǒ shì Jié kè rén.";"I am Czech.";"chinese phrases"
"Wo shì xúe shēng.";"I am student.";"chinese phrases"
"Nǐ xuě shénme?";"What are you studying?";"chinese phrases"
"Hǎo bù hǎo?";"Good or bad? (Do you agree?)";"chinese phrases"
"Dǒng bù dǒng?";"Do you understand?";"chinese phrases"
"Zhè shì shénme?";"What is this?";"chinese phrases"
"Nà shì shénme?";"What is that?";"chinese phrases"
"Qǐng zuò.";"Please, sit down.";"chinese phrases"
"Nǐ hěn piào liàng.";"Yo are pretty.";"chinese phrases"
"Nǐ bú piào liàng.";"Yo are not pretty.";"chinese phrases"
"Nǐ bú hěn piào liàng.";"Yo are little bit pretty.";"chinese phrases"
"Tā piào liàng mā?";"Is she pretty?";"chinese phrases"
"Nǐ ě mā?";"Are you hungry?";"chinese phrases"
"Wǒ hěn è.";"I am hungry.";"chinese phrases"
"Wǒ men qù chí fàn ba!";"Let's go eat!";"chinese phrases"
"Wǒ men zǒu ba!";"Let's go.!";"chinese phrases"
"Wǒ yào zǒu le.";"I am leaving. / I need to go.";"chinese phrases"
"Nǐ xǐ huān shénme ròu?";"What meat do you like?";"chinese phrases"
"Nǐ máng mā?";"Are you busy?";"chinese phrases"
"Nǐ máng bú mā?";"Are you busy or not?";"chinese phrases"
"Nǐ hěn máng mā?";"Are you really busy?";"chinese phrases"
"Wǒ zhénde hěn è.";"I am really hungry.";"chinese phrases"
"Wǒ hěn máng.";"I am busy.";"chinese phrases"
"Zhōng Qiū Jié kuài lè";"Happy Moon Festival!";"chinese phrases"
"Shēng rì kuà lè";"Happy birthday!";"chinese phrases"
"Qǐng, zài shuō yí cì.";"Please, say it again.";"chinese phrases"
"Hǎo jiǔ bù jiàn";"Long time no see";"chinese phrases"
"Qǐng zài shuō yiěci.";"Please repeat.";"chinese phrases"
"Qǐng dà shēng yìdiǎn.";"Please louder.";"chinese phrases"
"Hǎo bùhǎo?";"Is it OK?";"chinese phrases"
"Hěn hǎo";"Very good.";"chinese phrases"
"Hǎole ma?";"Are you done? Are you ready?";"chinese phrases"
"Hái méi (hǎo)";"Not yet!";"chinese phrases"
"Duì bǔduì?";"Is it correct?";"chinese phrases"
"Wǒ dǒng le.";"I understood.";"chinese phrases"
"Nǐ shuō shénme?";"What did you say?";"chinese phrases"
"Yǒu méiyǒu wèntí?";"Any question?";"chinese phrases"
"Wǒ shi xuéshēng. Wǒ bú shi lǎoshī.";"I am a student. I am not a teacher.";"chinese phrases"
"Wǒ shi xuéshēng, bú shì lǎoshī.";"I am a student, not a teacher.";"chinese phrases"
"Wǒ yǒu dian’nao.";"I have a computer.";"chinese phrases"
"Wǒ yě yǒu shǒujī.";"I also have a cellphone.";"chinese phrases"
"Wǒmen dōu yǒu bǐ.";"We all have pens.";"chinese phrases"
"Wǒmen dōu méiyǒu shū.";"We all do not have books.";"chinese phrases"
"Wǒ yǒu liǎng bēi chá.";"I have two cups of tea.";"chinese phrases"
"Zhè shì shénme?";"What is this?";"chinese phrases"
"Nà shì miànbāo.";"That is a bread.";"chinese phrases"
"Ni yào chá ma? = Ni yào bú yào chá?";"Do you want tea?";"chinese phrases"
"Wǒ yào bīng kāfēi.";"I want ice coffee.";"chinese phrases"
"Wǒ yào rè chá.";"I want hot tea.";"chinese phrases"
"Wǒ (bú) yào táng.";"I don’t want sugar.";"chinese phrases"
"Wǒ bú yào là";"I do not want (it) spicy.";"chinese phrases"
"Wǒ (bú) huì yóuyǒng.";"I can (not) swim.";"chinese phrases"
"Nǐ huì yóuyǒng ma? = Nǐ huì bú huì yóuyǒng?";"Can you swim?";"chinese phrases"
"Wǒ bú huì shuō Zhōngwén.";"I can not speak Chinese.";"chinese phrases"
"Wǒ (bú) zhīdào.";"I (don`t) know.";"chinese phrases"
"Nǐ dǒng Yīngwén ma?";"Do you understand English?";"chinese phrases"
"Wǒ dǒng yīdiǎnér Zhōngwén.";"I understand a little Chinese.";"chinese phrases"
"Wǒmen dōu bù xǐhuān tā.";"We all do not like him.";"chinese phrases"
"Tāmen bù dōu shì Yìnní rén.";"They are not all Indonesian.";"chinese phrases"
"Tāmen dōu bú shì Yìnní rén.";"All ofthem are not Indonesian.";"chinese phrases"
"Wǒ hěn xǐhuān chī bāozi.";"I like to eat bun very much.";"chinese phrases"
"Bāozi hěn hǎo chī.";"Bun is very delicious.";"chinese phrases"
"Wǒ bù xǐhuān chī bāozi.";"I do not like to eat bun.";"chinese phrases"
"Wǒ bbù tài xǐhuān chī bāozi.";"I do not like to eat bun very much.";"chinese phrases"
"Nǐ tàitài xǐhuān h1e chá ma?";"Does your wife like to drink tea?";"chinese phrases"
"Nǐ xiānshēng xǐhuān kàn diànyǐng ma?";"Does your husband like to go to a movie?";"chinese phrases"
"Nǐ xǐ huān kāfēi mā?";"Do you like coffee?";"chinese grammar questions"
"Nǐ yào shénme?";"What do you want?";"chinese grammar questions"
"Wǒ (bú) huì yóyǒng.";"I can (not) swim.";"chinese grammar questions"
"Wǒ bú shuō Zhōngwén.";"I can not speak Chinese.";"chinese grammar questions"
"Shéi yǒu bǐ?";"Who has a pen?";"chinese grammar questions"
"Lǎoshī yǒu bǐ.";"The teacher has a pen.";"chinese grammar questions"
"Shéi xǐhuān chá?";"Who likes tea?";"chinese grammar questions"
"Shéi shì Fǎguǒ rén?";"Who is French?";"chinese grammar questions"
"Tā shì shéi?";"Who is he/she?";"chinese grammar questions"
"Tā shì wǒ bàbà.";"He is my father.";"chinese grammar questions"
"Wǒ bù chī zhūròu.";"I do not eat pork.";"chinese grammar negative-sentence"
"Wǒ bù hē kāfēi.";"I (never) drink coffee.";"chinese grammar negative-sentence"
"Wǒ méi hē.";"I don't drink (now).";"chinese grammar negative-sentence"
"Yígòng duōshǎo qián?";"Totally how much money?";"chinese grammar numbers"
"Nǐde shǒujī jǐ hào?";"Your phone number?";"chinese grammar numbers"
"Nǐ gěi wǒ nǐde hào mā?";"Give me yourphone number?";"chinese grammar numbers"
"Yī gè rén";"One person";"chinese grammar measure-words"
"Liǎng gè rén";"Two persons";"chinese grammar measure-words"
"Sān gè rén";"Three persons";"chinese grammar measure-words"
"Yī běn shū";"One book";"chinese grammar measure-words"
"Yī zhī bǐ";"One pen";"chinese grammar measure-words"
"Yī píng pí jiù";"One bottle of beer";"chinese grammar measure-words"
"Yī bēi ká fei";"One cup of coffee";"chinese grammar measure-words"
"Yì bēi nǎichá jǐ kuài qián?";"How much is a cup of milk tea?";"chinese grammar measure-words"
"Duò shǎo qián?";"How much money?";"chinese grammar measure-words"
"Zhè shì shèide shǒu jī?";"Whoose cellphone is this?";"chinese grammar possessive-pronouns"
"Wǒ de péng yǒu de shǒu jī";"My friend's cellphone";"chinese grammar possessive-pronouns"
"Jīntiān jǐ yuè jǐ hào?";"What date is today?";"chinese grammar time"
"Jīntiān shì shíyuè shíyī hào.";"Today is October eleven.";"chinese grammar time"
"Jīntiān shì lǐbài jǐ?";"What day is today?";"chinese grammar time"
"Jīntiān shì lǐbàisì.";"Today is Thursday.";"chinese grammar time"
"Wo chī le.";"I ate.";"chinese grammar tenses past"
"Wǒ zuótiān qù yóuyǒng.";"I went swimming yesterday.";"chinese grammar tenses past"
"Wǒ jīntiān mǎi le kāfēi.";"I bought coffee today.";"chinese grammar tenses past"
"Tā zài chī miàn bāo.";"He is eating a bread right now.";"chinese grammar tenses continuous"
"Nǐ zài zuò shénme?";"What are you doing?";"chinese grammar tenses continuous"
"Nǐ qù nǎlǐ?";"Where do you go?";"chinese grammar places"
